virus,sequencer,error tolerance,faulty cells,tp,fp,fn
rotavirus,pacbio,3,131072,99,1107,0
influenza,illumina,4,131072,921,115,0
influenza,roche,4,131072,900,33,97
influenza,pacbio,4,131072,928,98,0
lassa,illumina,4,131072,470,588,0
lassa,roche,4,131072,335,677,76
lassa,pacbio,4,131072,351,712,0
measles,illumina,4,131072,541,509,0
measles,roche,4,131072,294,742,66
measles,pacbio,4,131072,397,658,0
sars-cov-2,illumina,4,131072,500,558,0
sars-cov-2,roche,4,131072,388,627,92
sars-cov-2,pacbio,4,131072,391,674,0
rotavirus,illumina,4,131072,0,1053,0
rotavirus,roche,4,131072,1,1053,77
rotavirus,pacbio,4,131072,0,1063,0
influenza,illumina,5,131072,828,253,0
influenza,roche,5,131072,766,440,96
influenza,pacbio,5,131072,801,297,0
lassa,illumina,5,131072,220,928,0
lassa,roche,5,131072,156,952,71
lassa,pacbio,5,131072,166,969,0
measles,illumina,5,131072,519,589,0
measles,roche,5,131072,524,701,66
measles,pacbio,5,131072,509,598,0
sars-cov-2,illumina,5,131072,312,848,0
sars-cov-2,roche,5,131072,174,1293,92
sars-cov-2,pacbio,5,131072,239,916,0
rotavirus,illumina,5,131072,0,1107,0
rotavirus,roche,5,131072,0,1180,76
rotavirus,pacbio,5,131072,0,1122,0
influenza,illumina,0,262144,0,0,1000
influenza,roche,0,262144,0,0,1000
influenza,pacbio,0,262144,0,0,1000
lassa,illumina,0,262144,0,0,1000
lassa,roche,0,262144,0,0,1000
lassa,pacbio,0,262144,0,0,1000
measles,illumina,0,262144,0,0,1000
measles,roche,0,262144,0,0,1000
measles,pacbio,0,262144,0,0,1000
sars-cov-2,illumina,0,262144,0,0,1000
sars-cov-2,roche,0,262144,0,0,1000
sars-cov-2,pacbio,0,262144,0,0,1000
rotavirus,illumina,0,262144,0,0,1000
rotavirus,roche,0,262144,0,0,1000
rotavirus,pacbio,0,262144,0,0,1000
influenza,illumina,1,262144,0,0,1000
influenza,roche,1,262144,117,0,883
influenza,pacbio,1,262144,2,0,998
lassa,illumina,1,262144,0,0,1000
lassa,roche,1,262144,0,0,1000
lassa,pacbio,1,262144,0,0,1000
measles,illumina,1,262144,1,0,999
measles,roche,1,262144,0,0,1000
measles,pacbio,1,262144,0,0,1000
sars-cov-2,illumina,1,262144,0,0,1000
sars-cov-2,roche,1,262144,0,0,1000
sars-cov-2,pacbio,1,262144,1,0,999
rotavirus,illumina,1,262144,0,0,1000
rotavirus,roche,1,262144,0,0,1000
rotavirus,pacbio,1,262144,1,0,999
influenza,illumina,2,262144,0,3,997
influenza,roche,2,262144,0,0,1000
influenza,pacbio,2,262144,0,0,1000
lassa,illumina,2,262144,1,0,999
lassa,roche,2,262144,0,0,1000
lassa,pacbio,2,262144,0,0,1000
measles,illumina,2,262144,4,0,996
measles,roche,2,262144,0,0,1000
